,glioma,meningioma,notumor,pituitary,accuracy,macro avg,weighted avg
precision,0.8966789667896679,0.8118466898954704,0.9375,0.887240356083086,0.8886346300533944,0.883316503192056,0.8873290495574677
recall,0.81,0.761437908496732,0.9629629629629629,0.9966666666666667,0.8886346300533944,0.8827668845315904,0.8886346300533944
f1-score,0.851138353765324,0.7858347386172007,0.9500609013398295,0.9387755102040817,0.8886346300533944,0.881452375981609,0.886509728642499
support,300.0,306.0,405.0,300.0,0.8886346300533944,1311.0,1311.0
